,tweets
5830,More beautiful flicks coming mañana; but splurged on my baby and I a little and got us both the iPhone XS. 😋💕 https://t.co/ymBKBZlMxM
5831,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/M8INt0HvGe… https://t.co/ql85WYA3Wr
5832,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/c27UxAyVbe
5833,@meynardguerra Iphone xs max 😊
5834,The iPhone XS takes such good photos https://t.co/5HdE3LWKK0
5835,@Eddiespaghe11ii Thank you! It’s the iPhone XS max😬
5836,@MKBHD I would love the direct comparison between iPhone XS max vs pixel 3 vs note 9 vs one plus 6t which is launch… https://t.co/yZ3KYa3D99
5837,@SuperSaf You always seek for attention ... Sometimes you make fake videos what you did with iphone xS you didn't e… https://t.co/qJyi1EU15K
5838,Win an iPhone XS and Anker Accessories https://t.co/5hcrKJ3DYn
5839,@MKBHD I would love the direct comparison between iPhone XS max vs pixel 3 vs note 9 vs one plus 6t which is realis… https://t.co/xXuUVmZmq2
5840,Thinking about getting that iPhone Xr product red but I need to see that display in person first #iPhone #Apple
5841,Holding my iphone xr case while using my ipod = me using an iphone xr
5842,Selling My iPhone XS Max To a Machine at Walmart https://t.co/1wzXOPYXoG via @YouTube
5843,Here's how Google's new $800 Pixel 3 compares to the iPhone XS - Business Insider https://t.co/mIKtMLgGIZ
5844,Also if you want to treat your girl (aka me) to the fair; I’ve never been and have the iPhone xs max or whatever an… https://t.co/Xp0DVwZKHi
5845,The iPhone XS max camera https://t.co/kBv7iN8hvz
5846,I have an  iPhone Xs Max with no case and the amount of times I’ve dropped it already. I’m shocked it hasn’t cracked
5847,I would totally agree ... best cases on the market! @Caudabe
5848,AUKEY USB C Charger with 60W Power Delivery 3.0 &amp; Dual Port USB Charger; Compatible MacBook/Pro; Dell XPS; iPhone X… https://t.co/Ckcnqir3vX
5849,I liked a @YouTube video https://t.co/Fa9Fs9VORT Razer Phone 2 - I like my iPhone XS a little less...
5850,Xoami is focusing on their last year mid range phones! But they are not fixing bugs in Thier recently launched flag… https://t.co/FwUGRQOdgj
5851,Alright peeps make the final decision for me. iPhone Xs Max????
5852,I liked a @YouTube video https://t.co/XRjrYWyr5O Paying For My McDonalds Meal With An iPhone XS Social Experiment
5853,New iPhone XS Problems Damaging Apple's Legendary Reputation - Forbes Magazine https://t.co/xi6UUTkAkV
5854,I Just Entered @RedmondPie iPhone XS Max Giveaway. Details Here: https://t.co/RdtWzP9ky8 #RPiPhoneXS #iPhoneXS #iPhoneXSMax
5855,iPhone xs max giveaway #shrek2323 #iphone #giveaway #iphone xs max #iphone https://t.co/uHU62gBL0z
5856,the iphone xs max snapchat camera is so zoomed in it bugs me so much...
5857,iPhone 4 &gt; iPhone XS Max
5858,Giveaway: https://t.co/a4dCDN9NJb Product: https://t.co/6oJNpeufiK iPhone Xs Wallet Case; iPhone X Crossbody Purse… https://t.co/pDg8ieeQQg
5859,I liked a @YouTube video https://t.co/XbnAs464A3 Apple iPhone XS and XS MAX Review
5860,Win an iPhone XS and Anker Accessories https://t.co/actvRFyr9A
5861,Guess I'm dropping AT&amp;T like a hot 🥔 potatoe!
5862,@AppleSupport why my iPhone XS keep freezing🤨
5863,iPhone XR Max is unreal
5864,3D full cover anti blue light tempered glass eye protective guard iPhone Xs/ XR/ Xs Max screen protector sales@weac… https://t.co/frydJtewGo
5865,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/7Dlp6mL7Ae… https://t.co/HQUyOC4Z9V
5866,Greetings from my new iPhone XS. 😛
5867,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/y8W0pjATsF
5868,What is iPhone XR ?
5869,IPhone X;Iphone XS; IPhone XR; IPhone 6s; IPhone 6;Iphone Max Price : 750 Negotiable  Contact :0736668853 What's up… https://t.co/X6F76DoWBt
5870,The iPhone XS Giveaway | StackSocial https://t.co/vQvErYrtEw via @StackSocial
5871,@DebRyanShow #Rayito 3.0 iPhone xs
5872,iPhone Xs  video 1080p30fps https://t.co/JqN0Svf3q8
5873,iPhone XS =Hero splendor +Hero splendor + POCO F1 and complementary Headphone jack 🤗 @IndiaPOCO
5874,should i get the iphone x or xr HELP
5875,@Twitter On a desert island... Hmmmm. OK.. 'whoever gets me off this desert island can have my brand new iPhone xs… https://t.co/R1fNsHZeor
5876,I just bought the iPhone Xs Max and this thing is DOOOOOPPEE😃
5877,Iphone XS price tho...ridiculous
5878,https://t.co/nzLqMOITfc Rhinestone Airbag Mirror Phone Case For iPhone XR Xs Max XR for iPhone X 6 7 8 Plus Sparkle… https://t.co/GpKVrCRKcK
5879,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/hBZ3Lhk24e
5880,Just how waterproof is the iPhone XS anyway? - Cult of Mac https://t.co/v68qvRshPL
5881,Looking for a best deal? It's a good time to check our TUFF Hybrid iPhone Xs Max (6.5') Case - Teal/Pink… https://t.co/QdUw5RiVzJ
5882,@pewdiepie You need to add a new IPhone Xs Max phone case on Represent so I can buy one please!!!
5883,I want the iPhone XR.
5884,This is awesome!
5885,Apple's iPad Pro 2018 might have a faster processor than iPhone XS - https://t.co/5o6zgj56Rm #Apple #AppleNews #A12… https://t.co/E781HUtRfF
5886,https://t.co/SJ8sm9wcjO  Fashion Soft Real Fur Case for iphone XR Xs Max 5.8' 6.1' 6.5' Phone Cover Bow Winter Warm… https://t.co/3aXUUhezUF
5887,@DebRyanShow #rayito 3.0 iphone xs ven a miiiiii
5888,Just got my iPhone XS today. I like it so far. And yes I swtitched back to Iphone. Lol
5889,I liked a @YouTube video https://t.co/wPjAQkvrmz Big iPhone Xr Demand in China; Galaxy A9 with 4 Rear Cameras Announced &amp; more -
5890,iDrop News is giving away a free iPhone XS Max in February! Enter to win now. https://t.co/SOyAVPC9ys
5891,@ZacksJerryRig Can I get the iPhone xs max please I'm stuck with a ZTE phone because my parents will never buy me o… https://t.co/yvl8mGAbG4
5892,Got the iphone xs max and im obsessed 🤩
5893,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/0jbkF8FiGk
5894,@daringfireball I think this article is inaccurate.  Yes; the latest ARM instruction set includes this optimization… https://t.co/GI26AWEQl6
5895,I liked a @YouTube video https://t.co/79JistqxF9 Google Pixel 3 XL vs Apple iPhone XS Max: first look
5896,What On My iPhone XS Max // Kelsea Webb https://t.co/t04zQERVyg
5897,Jump in Foxconn earnings point to strong iPhone XS sales – BGR https://t.co/quIAwpZI6t https://t.co/XyXvGEyZF2
5898,Selling My iPhone XS Max To a Machine at Walmart https://t.co/IQD7OTej6w via @YouTube
5899,I liked a @YouTube video https://t.co/QD31Kxjrp2 Big iPhone XR demand in China; Galaxy A9 with 4 rear cameras announced - Pocketnow
5900,👀👀 ty daddy 👅
5901,I liked a @YouTube video https://t.co/39mHxbZiV3 Razer Phone 2 - I like my iPhone XS a little less...
5902,Win an iPhone XS and Anker Accessories https://t.co/171qxRnG4I
5903,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/N1jGuB3k09
5904,This iPhone xs max battery is the TRUTH! Been up since 8am using my phone throughout the day and I’m not even at 20% yet
5905,Big iPhone XR demand in China; Galaxy A9 with 4 rear cameras announced | Pocketnow Daily https://t.co/8LSIPAMu8b
5906,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/4B79rnMD7x
5907,@misterjamo He can't get the latest iPhone Xs Max with FaceID? I thought he is a multi-millionaire. Wow. He's an idiot.
5908,can u imagine being a mother and u get your daughter an iphone xs and she has the audacity to say “thank you” ungrateful bitch#psatmemes
5909,I just upgraded to the iPhone Xs today 😍 I don’t know how to use this shit tho lmaoooooooo
5910,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/w3ca2JnyGM
5911,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/ZDCdtlCONZ… https://t.co/eDlaUrCzRZ
5912,► Te Regalo 5 iPhone XS | Sorteo Internacional | Giveaway | #Rayito 3.0 https://t.co/iy3qdvc9pB via @YouTube
5913,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/9n1nLry2md… https://t.co/k1RNOKMysq
5914,This is why all Alphas in relationships 😂
5915,The speaking poop Memoji might be the main selling point of the Iphone XS.
5916,All we want is the new iPhone XS Max. Why is that so impossible lol.
5917,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/tCckZSHfgf
5918,Win an iPhone XS and Anker Accessories https://t.co/8dVXGmwad3
5919,Hmmm......what’s the catch?! Y’all be adding extra stuff later in your bills.
5920,@BeeBee_this Do you mean the trade in offer with the iPhone Xs? -MH
5921,Selling My iPhone XS Max To a Machine at Walmart https://t.co/AfkdPLEEuh via @YouTube
5922,@callmeazik Iphone xs ni power bro.
5923,Ooohh how you like it ??👀
5924,Went from IPhone 5 to iPhone XS 😂😂 #bigmoves
5925,@chichi_raldo Girl it’s the iPhone Xs Max camera!!! 😭😭😭😭😭😭😭
5926,New 🔥🔥🔥🔥 coming tomorrow; hope you’re all ready to see what the IPhone XS Max is capable of
5927,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/XhlDzAGLKs
5928,Rims or the IPhone Xs? 🤔
5929,Record high Foxconn Q3 revenue suggests strong sales of iPhone XS/Max https://t.co/mXvfRNj04t https://t.co/OKtcK4dV0G
5930,Anyone else strangely excited for the iPhone XR? https://t.co/XmAkmUU3We
5931,yo phone work good now ?? if so hell nah
5932,Protect your iPhone XS screen with a @PowerSupportInt film - https://t.co/VFgZ7vdf4M https://t.co/MlcCwSxVew
5933,Coolest Screen Protector EVER! Whitestone Dome Glass Review - iPhone XS ... https://t.co/1OLSRI2JZy @YouTube https://t.co/woUicsWfyy
5934,Protect your iPhone XS screen with a @PowerSupportInt film - https://t.co/VFgZ7vdf4M https://t.co/MlcCwSxVew
5935,BGR: The iPhone XR could be far more important to Apple than we realized. https://t.co/zJrQ7a0Az7  via @GoogleNews
5936,I liked a @YouTube video https://t.co/HOqfU5x8rn UNBOXING IPHONE XS Ft. Andy Zurita / Juanpa Zurita
5937,@supcase_atl Hi can you suggest a best hard tough case for iPhone XS...
5938,got the iPhone XS; it was jih a waste of money 😕
5939,3D Embossed Cartoon Patterned Phone Case For iPhone XS Max XR X #9 8 7 6S 6 Plus Fashion Vintage Flower #Marble Cas… https://t.co/Ag5LiOsdCo
5940,@oneplus On a desert island... Hmmmm. OK.. 'whoever gets me off this desert island can have my brand new iPhone xs… https://t.co/KXrI36MqOr
5941,Check out what I just added to my closet on Poshmark: Iphone XS MAX Purple Green Floral Hard Case.… https://t.co/jUyuTlxyAO
5942,I liked a @YouTube video https://t.co/nLBaY6OBOP UNBOXING IPHONE XS Ft. Andy Zurita / Juanpa Zurita
5943,https://t.co/AnK05OpV2r Golf Ball iPhone XS Max Case https://t.co/qkLO3JRLuG https://t.co/gGDYxQycXD
5944,So; even though the Pixel 3 has just been released; I'm about to drop my iPhone XS video; which has clocked in at a… https://t.co/6tQr2tVilo
5945,Selling My iPhone XS Max To a Machine at Walmart https://t.co/SyRwbH0laJ via @YouTube @TechSmartt
5946,put me on your plan already
5947,@JohnLegere I’d like the new iPhone XS @TMobile https://t.co/SwJYhjTazu
5948,Link for Iphone XS MAX XR XS https://t.co/4SrZ2lOlGF
5949,@MsMaryMaccc The probability that a random person could look at your iPhone Xs Max and unlock it using Face ID is a… https://t.co/H2ZLYDRLGH
5950,The camera quality on the iPhone xs max looks like androids....
5951,Link for Iphone XS MAX XR XS https://t.co/4SrZ2lOlGF
5952,Probably should of took into consideration that I wear tight jeans before I decided on getting the iPhone XS Max. #WhereDoIPutThisThing
5953,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/Nm0nB75nn4
5954,#Apple #iPhone Xs; Xs Max up for pre-order with #Globe on October 19 https://t.co/TA9OuqXu3N #ios #iphonexs
5955,#Win an iPhone XS and Anker Accessories https://t.co/YfRRp8RlmP
5956,@indiantweeter Iphone XS Max
5957,Welcome to the big screen with #the_big_price  ₹100000+😱😨
5958,@ife_phoenix @AppleSupport I have no issues with my iPhone xs I’m getting all my mail.
5959,@Snapchat update your app for the iPhone XS please &amp; thanks
5960,@Tiffany90270735 @SprintSwagger iPhone XS Max
5961,but like the huawei mate 20 pro looks promising as well!!! huhuhu so should I buy iphone xs; pixel 3 xl(don't know… https://t.co/ADMqnMGIpw
5962,iPhone XS and iPhone XR Giveaway! https://t.co/HajKWOKMwH via @Rarenorm
5963,I liked a @YouTube video https://t.co/T4X8SuAx1m iPHONE XS MAX CASE HAUL + DROP TEST | Casetify
5964,Wow the camera on the iPhone Xs Max tho 🤩 now I can capture festivals and my gross face in super high quality hd yay!
5965,I’ve found a flaw with the iPhone XS... my facial recognition doesn’t recognize me when I have a face mask on
5966,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/majtoCn3l1
5967,Shay has done it again y'all!!!!😍😍
5968,iPhone XS Max is fucking amazing
5969,i know i’m not the only one who hates the front camera on the iphone xs max 😗
5970,I’m in love with the iPhone xs max 😩 this shit is literally perfect
5971,iPhone xs !!!!
5972,Apple iPhone XS Max Giveaways - 2018!; Win New iPhone XS Max by clicking this link and submit your valid informatio… https://t.co/CSjMcraHBI
5973,Cuba Gooding Jr. Directs iPhone XS Commercial for the Australian Market @Optus #apple https://t.co/eT5bcwDKVI
5974,FRONT CAMERA ?! Damn. I hate being poor 😭
5975,#filmoramememaker #winiphonexs Help me win this iPhone Xs from Wondershare Filmora! https://t.co/cAlY8GB77K
5976,Horse 3D Bling Swarovski Crystal iPhone XS and MAX iPhone XR Case - Blue  #iPhoneXS #iPhoneXSMAX #BlingBling  Click… https://t.co/JXZNlQe8qu
5977,We're excited to announce our Zizo BOLT iPhone Xs Max Case Holster Combo - Gold/Black at https://t.co/jIFzVrBr9c Sa… https://t.co/TovNs230EP
5978,Big iPhone XR demand in China; Galaxy A9 with 4 rear cameras announced | Pocketnow Daily https://t.co/rkiWQPyCiH
5979,So they 3D basically
5980,Big iPhone XR demand in China; Galaxy A9 with 4 rear cameras announced | Pocketnow Daily https://t.co/dFnGDF4PVn
5981,iPhone XS Max vs iPhone X camera! Guess which is which! iPhone X or iPhone XS Max? 🧐 #iPhone #iPhoneXSMax… https://t.co/Rw4UyAKtVb
5982,Here's how Google's new $800 Pixel 3 compares to the iPhone XS #Pixel3 #Pixel3XL #iPhoneXS #iPhoneXSMax  https://t.co/MOXBYFsayr
5983,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/S0BVRZgCmS
5984,I added a video to a @YouTube playlist https://t.co/Msxm0mWYJE iPhone XS MAX me provoca un gran dolor...
5985,Check out the iPhone XS Max Emojis! Do you think  @CaseyNeistat will respond? #nosmallcreator #emoji #iPhoneXSMax… https://t.co/ZOSiHFxNtx
5986,I added a video to a @YouTube playlist https://t.co/Msxm0mFnl4 iPhone XS MAX me provoca un gran dolor...
5987,iphone xs !!!
5988,Selling My iPhone XS Max To a Machine at Walmart https://t.co/hKBtqEzKYo via @YouTube
5989,iPhone xs max giveaway #shrek2323 #iphone #giveaway #iphone xs max #iphone https://t.co/GSznuUJ1Sl
5990,Does anyone else feel the same?  The creative used for the extremely visible and in-your-face iPhone Xs ads; is weird. Almost creepy.
5991,iphone xs !
5992,Apple iPhone XS Giveaway! https://t.co/oxz9Qz0vqu
5993,This is the front camera??...chai....
5994,iPhone XS Gets Improved ‘Smart Raw’ Camera Feature With Halide App Update https://t.co/edOiRVwEZd https://t.co/c2XuNCfBOb
5995,I wanted the iPhone XS but they only had x and the xs would be available until a month :(
5996,iPhone XS and iPhone XR Giveaway! https://t.co/48a9Pnr7JW via @Rarenorm
5997,'Between the release of the X and the most recent release of XS; XS Max; and XR; Apple has given its consumers enou… https://t.co/w1frzeeG5s
5998,@gifkeyboard I don’t know if it’s because of my new phone; iPhone XS; when I am texting it says that I have to allo… https://t.co/O5VudVoUPi
5999,This iPhone XS camera!!! 😍😍 https://t.co/y1WU5Njyp4
6000,my mom said i could get the iphone xr today but 5 minutes later she said i wasn’t and then said AGAIN that i was so idek at this point
6001,Anyone trying to buy an iPhone XS? New in the box. T-Mobile 64GB Silver w/White Back. Holla 📱💵 #iPhoneXS #Venmo #PayPal #Cash #ForSale
6002,► Te Regalo 5 iPhone XS | Sorteo Internacional | Giveaway | #Rayito 3.0 #Rayito https://t.co/m53ny8wSqO
6003,@Torrez19x @Apple What’s up with that iPhone XS Max though
6004,@hellomaphie iPhone XS MAX
6005,► Te Regalo 5 iPhone XS | Sorteo Internacional | Giveaway | #Rayito 3.0 https://t.co/YWgQVBymh9
6006,Win an iPhone XS and Anker Accessories https://t.co/5R7Sh85IA0
6007,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/KWB2LZk9d4
6008,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/5J8TAJuuka
6009,Next station iPhone XR (R stands for RONNACHAT; don’t hesitate me) — feeling excited
6010,Apple's iPad Pro 2018 might have a faster processor than iPhone XS https://t.co/fTsw9QxVp3
6011,I liked a @YouTube video https://t.co/VHx19NVtpR Paying For My McDonalds Meal With An iPhone XS Social Experiment
6012,Win an iPhone XS and Anker Accessories https://t.co/JyzTdZK8TA
6013,The iPhone XS camera really lets me know I’m ugly :(
6014,Big #Iphone XR demand in #China; Galaxy A9 with 4 rear cameras announced | Pocketnow Daily https://t.co/QioqPfB4pD
6015,#2: iOttie Easy One Touch 4 Dashboard &amp; Windshield Car Phone Mount Holder for iPhone XS Max R 8 Plus 7 6s SE Samsun… https://t.co/m6rxnqkhpq
6016,I got it. Buy me a car 😂
6017,AUKEY USB C Charger with 27W Power Delivery 3.0 Wall Charger; Compatible Nintendo Switch; iPhone Xs/XS Max/XR; Sams… https://t.co/Si6ToGPLZI
6018,Win an iPhone XS and Anker Accessories https://t.co/NjTLja2T1y
6019,Broke down and ordered an iPhone Xs max.
6020,Win an iPhone XS and Anker Accessories https://t.co/M0pwTeK98g
6021,I haven’t charged my phone all day. The life of having an iPhone Xs. Lit
6022,Anyone else see mammograms when they watch this??
6023,Pixel 3 vs iPhone XS or Galaxy Note 9: 5 reasons to go with Google's phone... https://t.co/5nTTpucPZQ via @ZDNet &amp; @mrcippy
6024,New iPhone XS Problems Damaging Apple's Legendary Reputation https://t.co/i6d4O20wGC
6025,The ultimate test. My Meeko looks so handsome and you can actually see his black fur in low light. iPhone Xs Max is… https://t.co/d53wvKvOQ6
6026,Who trying to get me that new Apple Watch to go along with my iPhone XS Max  🧐
6027,Nothing wrong with my phone but you can make me the fourth 🤗 iPhone Xs max
6028,I added a video to a @YouTube playlist https://t.co/SIBSJjoWFN iPhone Xs Max Teardown - Is there any Thermal Cooling?
6029,#filmoramememaker #winiphonexs Help me win this iPhone Xs from Wondershare Filmora! https://t.co/El9OwcTlJ1
6030,I really love the iPhone Xs Max.
6031,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/El9OwcTlJ1
6032,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/Ujs26KMYmg… https://t.co/aGBpS8VHu7
6033,Google Pixel 3 vs OnePlus 6 vs iPhone XS vs Samsung Galaxy Note 9: Price in India; Specifications Compared https://t.co/8ryCp01KoO
6034,Vodafone Offers 20 Percent Rental Discount for Customers Buying iPhone XS; iPhone XS Max https://t.co/dZT0Fh57hW
6035,Jump in Foxconn earnings point to strong iPhone XS sales https://t.co/6mCazABi3b #Technology
6036,These are the things my dad found imperative to pack for his trip to California:  -iPhone 3 charger (he has an Xs)… https://t.co/Td2RUh8AxN
6037,Win an iPhone XS and Anker Accessories https://t.co/j1KG6xZYE6
6038,@mophie Ok. The iPhone X is a year old and now we have the XS and XS Max. Any plans of making battery cases for them?
6039,So 5Ghz Wi-Fi connection on iPhone XS Max 2 bars. 2.5 Ghz Wi-Fi connection in same location and didn’t live an inch… https://t.co/UMSe3Ec03d
6040,iphone XS max users: does the area below the back camera get HOT AS FUCK for you too?
6041,Aye fam lemme borrow your camera😂
6042,Globe Telecom to offer the iPhone Xs and Xs Max this October. Customers will be able to pre-order iPhone Xs and iPh… https://t.co/lSjTU2RHno
6043,iPhone XS notch Sure blends way better with the design; than the Pixel 3XL's.  #Pixel3XL #Pixel3 #GooglePixel3XL… https://t.co/V7OIjXDM5d
6044,IM TORN!!!!!! Google Pixel? Stock Android phone....that notch tho🤦. Or iPhone XS Max? Looks great...but I've never… https://t.co/kVzPUnP7hZ
6045,Excited to share the latest addition to my #etsy shop: Google Pixel 3 XL Google Pixel 3 Little Flower Soft Case iPh… https://t.co/xXChlmFGVW
6046,The new iPhone XS retails in Australia for $2369; which is a hefty price which may throw off buyers and users.… https://t.co/kPlHSOscKV
6047,COPPED’T
6048,iPhone Xs https://t.co/v1pWAyrlRV
6049,Just the iPhone Xs Max 😊
6050,I liked a @YouTube video https://t.co/zFHcnl339t FREE Filmora Meme Maker + iPhone XS giveaway!
6051,Everyday iPhone come a advertise them xs and xs max to me. Me navvvveee no moneyyyyyyy
6052,I liked a @YouTube video https://t.co/apc3JcSdpq UNBOXING IPHONE XS Ft. Andy Zurita / Juanpa Zurita
6053,They're almost here. #MakeBigMoves with #GlobeiPhoneXs and iPhone Xs Max. ✨ Pre-order starts on October 19 for… https://t.co/hF8xVUqNUu
6054,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/Gp1KMLFu0U
6055,Tech&gt;Here are Casetify's top iPhone XS and iPhone XS Max cases&gt; Cas...https://t.co/jtTtu02Y5h #tech https://t.co/8JwjRnTWmx
6056,Moral of the story is wash your phone in the washing machine and one parent will tell you to fuck off and get over… https://t.co/iBVQ974Nwj
6057,Win an iPhone XS and Anker Accessories https://t.co/JS9UjKAl2d
6058,Everyday apple come a advertise them iPhone xs and xs max to me. Me navvveee no moneyyyyyy
6059,Did you really ?🤔
6060,☄️💥🔥„The iPhone XS is faster than an iMac Pro on the Speedometer 2.0 JavaScript benchmark. It’s the fastest device… https://t.co/K5WwM9MX1L
6061,IM TORN!!!!!! Google Pixel? Stock Android phone....that notch tho🤦. Or iPhone XS Max? Looks great...but I've never… https://t.co/2RH8JbEr7Z
6062,Apple Watch Series 4 &amp; iPhone Xs Max Giveaway 🔥🔥🔥 @iGeeksBlog 6th Annive... https://t.co/YM9nhdQR4u via @YouTube
6063,After having a plus iPhone it’s no way i was going back to the normal size; this XS max is love &amp; dumb fast.
6064,iPhone XS Mockup PSD  https://t.co/5ExwwidzPR
6065,I liked a @YouTube video https://t.co/M3XimjFaJ6 iPhone Xr vs iPhone Xs vs iPhone Xs Max - Which Should You Buy?
6066,So 5Ghz Wi-Fi connection on iPhone XS Max 2 bars. 2.5 Ghz Wi-Fi connection in same location and didn’t move an inch… https://t.co/HnAt3rfE35
6067,#Apple #IPhone XS #Review: Excess at its #Best - #PrescientInfo https://t.co/WMXHoTHDvz
6068,【販売中】 Apple iPhone XS Max Dual SIM (256GB) / Silver https://t.co/BDqaNCVUdy
6069,Help me win an iPhone XS for free! https://t.co/aBrFymyeu1
6070,Big #Iphone XR demand in #China; Galaxy A9 with 4 rear cameras announced | Pocketnow Daily https://t.co/QioqPfB4pD https://t.co/Mbnb6MEHAS
6071,Iphone XR? Or Google Pixel 3? 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
6072,Im about to order an iPhone Xs Max case and screen protectors just to have when I’m ready to buy the phone.
6073,Big iPhone Xr Demand in China; Galaxy A9 with 4 Rear Cameras Announced &amp; more - Pocketnow Daily… https://t.co/HpKvGm6yLW
6074,So I got the iPhone XS. I really want the XS max but they didn’t have any and it would’ve been 5-10 days to wait. So I’m trying to adjust.
6075,If only google didn't messed up their design this year...
6076,20 Best iPhone XS Max Cases and Covers https://t.co/cPcJSpta4z
6077,But this iPhone XS Max thoughhhhh 😍😍😍😍😍😍😍
6078,Anna Maria doesn't like to run any risks when it comes to her phone - do you? If you don't feel like running unnece… https://t.co/BmB7SOLN2H
6079,Apple iPhone XS Max - 512GB - Gold (Verizon) A1921 (CDMA + GSM) Unlocked https://t.co/P0vd6JdJ69 https://t.co/0CIzGMCLta
6080,New iPhone XS Problems Damaging Apple's Legendary Reputation https://t.co/dbH5XlvwGb
6081,how do I screenshot iPhone xs plz
6082,New iPhone Xs 😍 itd huge and the camera is zoomed in that’s the only things I don’t like https://t.co/Pa2bICxmLH
6083,Wrap your head around this iPhone XS performance.   https://t.co/pXrmNZf5Yp
6084,I can’t with you!
6085,Apple iOS 12 Has An Embarrassing Problem via @forbes https://t.co/SZeAk5vLKT #iMessage #iOS12 #NewerNotAlwaysBetter… https://t.co/K3j5n5ZYCW
6086,@hallstephenj I actually like notches and I'm jealous of the iPhone X/XS because the pixel 3 XL is in no way simila… https://t.co/E46AuTVzHr
6087,Boy I just dropped the iPhone XS for the first time &amp; time stopped. I was scared to pick it up.
6088,ForbesTech: New iPhone XS Problems Damaging Apple's Legendary Reputation https://t.co/jj6nKJpSzV
6089,See the new Apple iPhone XS and XS Max - https://t.co/gMKINblh8o #LatestComments
6090,My iPhone XS Max will be here in 4 days 😍😍😍
6091,Help me win an iPhone XS for free! https://t.co/LUIefgKNuc
6092,@TechAltar Exactly what Apple intend you to think toward the iPhone xr :)
6093,I can’t wait until mines come omg
6094,New iPhone XS Problems Damaging Apple's Legendary Reputation https://t.co/9GPpL9GoEv
6095,@snapchatsupport when are you going to fix the camera for the iPhone XS max cause this is a mess
6096,@TechSmartt love this video!!! Would love an iPhone XS Max ❤️.  My insta is @kotohanna.     I did everything for th… https://t.co/rHD8A4b3mY
6097,This nigga lying
6098,I added a video to a @YouTube playlist https://t.co/GUd1YuOpRw NEW iPhone Xs Giveaway!
6099,@krmarko Telling ya Kurt; I expect iPhone XR/XS to MASSIVELY speed up the web + Twitter experience. 😂
6100,Top Singaporean photographers take the iPhone XS for a spin - https://t.co/1nWY35vmus #gadgets #philippines
6101,We've added new Zizo BOLT iPhone Xs Max Case Holster Combo - Gunmetal at our store https://t.co/uOxYElK6xI https://t.co/PxEjILy6Fo
6102,New iPhone XS Problems Damaging Apple's Legendary Reputation https://t.co/yhtU2PGWWk
6103,@AppleSupport what is going on with the new iphone xs camera? It is horrible! Are you guys going to fix it or shoul… https://t.co/WvAnBnNUET
6104,Im so torn ! The xs max is kinda huge for me &amp; i m so used to the iphone xs size ANDDS i might drop it BUTtttT i wa… https://t.co/oxeeNbB11H
6105,@producerknoidea @Exodus27442502 @BitTorrent @justinsuntron But yea porn star hoes can literally record 4K videos o… https://t.co/FJMzdJ2e4T
6106,iPhone XR? iPhone XC? 2018 may be the year of weird iPhone names - CNET: #artificialintelligence #iot cc… https://t.co/TF04hRLwSk
6107,#Apple #IPhone XS #Review: Excess at its #Best - #PrescientInfo https://t.co/F0ZebwrmrN
6108,Check out this Amazon deal: DTTO Case for iPhone Xs; [Lightening Series] ... by DTTO https://t.co/NzsWLMaIW8 via @amazon
6109,@erod402 First I can’t get the iPhone XS now I can’t walkie talkie smh
6110,YES ! ITS WHAT HE DESERVES ! SPOIL HIM SKINNY QUEEN !
6111,@Simply_Gaabs Ok you can get the iPhone xs
6112,I liked a @YouTube video https://t.co/WUH9AVox7k iPhone Xs Max Giveaway! - 1 Million Subscriber SPECIAL
6113,They're almost here. Sooner than you think!!! #MakeBigMoves with the new #GlobeiPhoneXs and Xs Max. Coming soon to… https://t.co/GC9BagOwzh
